the nation's policies to reduce or control crime?,,,,,
,,,,,
,Very satisfied,Somewhat satisfied,Somewhat dissatisfied,Very dissatisfied,No opinion
,%,%,%,%,%
2024,6,22,31,38,3
2023,7,20,30,40,3
2022,6,18,30,42,4
2021,7,20,33,32,7
2020,11,36,27,22,4
2019,10,34,30,20,5
2018,10,34,29,23,5
2017,7,31,30,28,4
2016,5,33,29,28,5
2015,7,38,28,23,5
2014,10,41,23,19,7
2013,8,33,30,24,5
2012,7,43,25,20,6
2008,7,41,30,18,4
2007,9,38,31,18,4
2006,8,40,29,18,5
2005,11,46,23,16,4
2004,10,43,28,16,3
2003,8,43,28,18,3
2002,10,44,30,13,3
2001,6,39,32,20,3