Date,Stronger than needs to be,Not strong enough,About right
Jan  1 1984,15,36,46
Jan  1 1990,16,17,64
Jan  1 1999,7,42,48
Jan  1 2000,6,39,52
May  1 2000,6,38,55
Feb  1 2001,7,44,48
Feb  4 2002,6,43,50
Feb  3 2003,13,34,52
Feb  9 2004,10,34,54
Feb  7 2005,9,40,49
Feb  6 2006,7,43,47
Feb  1 2007,8,46,43
Feb  11 2008,10,47,41
Feb  9 2009,6,37,54
Feb  1 2010,7,45,46
Feb  2 2011,11,37,50
Feb  2 2012,13,32,54
Feb  8 2015,13,44,42
Feb  3 2016,13,45,41
Feb  1 2017,11,45,43
Feb  1 2018,13,39,46
Feb  1 2019,12,31,55
Feb  3 2020,12,25,62
Feb  3 2021,14,35,50
Feb  1 2022,12,42,44
Feb  1 2023,11,44,44
Feb  1 2024,16,44,37