Date,Too high,About right
2024 Apr,56,36
2023 Apr,60,36
2022 Apr,54,41
2021 Apr,50,44
2020 Apr,46,48
2019 Apr,45,48
2018 Apr,45,48
2017 Apr,51,42
2016 Apr,57,37
2015 Apr,51,42
2014 Apr,52,42
2013 Apr,50,45
2012 Apr,46,47
2011 Apr,50,43
2010 Apr,48,45
2009 Apr,46,48
2008 Apr,52,42
2007 Apr,53,41
2006 Apr,48,44
2005 Apr,51,44
2004 Apr,50,43
2003 Apr,50,46
2003 Jan,47,50
2001 Apr,65,31
2000 Apr,63,33
1999 Sep,68,28
1999 Jul,60,37
1999 Apr,65,29
1998 Apr,66,31
1997 Mar,58,38
1996 Apr,64,33
1994 Dec,66,30
1994 Apr,56,42
1993 Mar,55,41
1992 Mar,56,39
1991 Mar,55,37
1990 Mar,63,31
1985 Jun,63,32
1982 May,60,32
1973 Feb,65,28
1969 Mar,69,25
1967 Mar,58,38
1966 Feb,52,39
1964 Feb,56,35
1963 Jan,52,38
1962 Jun,63,32
1962 Feb,48,45
1961 Feb,46,45
1959 Mar,51,40
1957 Apr,61,31
1956 Feb,55,35